#ID DescID Mvir Vmax Vrms Rvir Rs Np X Y Z VX VY VZ JX JY JZ Spin rs_klypin Mvir_all M200b M200c M500c M2500c Xoff Voff spin_bullock b_to_a c_to_a A[x] A[y] A[z] b_to_a(500c) c_to_a(500c) A[x](500c) A[y](500c) A[z](500c) T/|U| M_pe_Behroozi M_pe_Diemer Halfmass_Radius PID
#a = 1.004270
#Om = 0.267000; Ol = 0.733000; h = 0.719000
#FOF linking length: 0.280000
#Unbound Threshold: 0.500000; FOF Refinement Threshold: 0.700000
#Particle mass: 7.41000e+10 Msun/h
#Box size: 1024.000122 Mpc/h
#Force resolution assumed: 0.000995748 Mpc/h
#Units: Masses in Msun / h
#Units: Positions in Mpc / h (comoving)
#Units: Velocities in km / s (physical, peculiar)
#Units: Halo Distances, Lengths, and Radii in kpc / h (comoving)
#Units: Angular Momenta in (Msun/h) * (Mpc/h) * km/s (physical)
#Units: Spins are dimensionless
#Np is an internal debugging quantity.
#Rockstar Version: 0.99.9-RC3+
433227 -1 7.410e+11 142.56 41.02 187.209 30.622 35 0.83304 21.84261 3.29690 55.02 -492.10 -438.56 -1.023e+11 2.137e+11 -2.533e+11 0.01427 30.62190 7.4100e+11 8.8920e+11 5.9280e+11 2.2230e+11 0.0000e+00 12.89925 0.00 0.01352 0.35825 0.06265 -11.14664 -19.80952 35.62280 0.5244 0.000e+00 -1.813e+01 -1.277 -1
433226 -1 1.482e+11 81.78 0.00 109.480 20.253 35 8.09785 21.43112 5.22987 131.21 -719.72 -568.83 4.900e+11 2.797e+11 2.858e+11 0.45068 20.25274 1.4820e+11 2.2230e+11 0.0000e+00 0.0000e+00 0.0000e+00 68.10191 132.22 0.36046 0.00000 0.00000 0.00000 0.00000 0.00000 0.0000 0.000e+00 0.000e+00 0.000 -1
313653 -1 7.040e+12 292.40 253.03 396.492 80.238 207 9.58333 8.85912 12.19060 -129.17 -13.45 -187.87 -2.953e+12 4.305e+12 2.679e+13 0.02451 80.23755 7.0395e+12 1.0003e+13 5.2611e+12 3.0381e+12 6.6690e+11 23.17773 0.00 0.02497 0.59957 0.39652 44.33617 8.07015 57.38988 0.9310 5.189e-01 3.278e+01 -2.606 -1
313652 -1 5.928e+11 120.97 113.48 173.789 72.871 31 8.60933 8.58850 11.00544 172.50 -34.11 -290.11 3.136e+11 2.145e+11 7.639e+11 0.01534 72.87086 5.9280e+11 8.8920e+11 0.0000e+00 0.0000e+00 0.0000e+00 28.28928 6.04 0.04824 0.55433 0.12761 90.27558 10.27734 27.73720 0.0000 0.000e+00 0.000e+00 0.000 -1
383654 -1 3.334e+12 285.54 201.98 309.075 20.668 77 10.35350 14.66491 15.68931 214.92 -224.66 -433.91 -1.038e+10 -8.140e+12 8.639e+11 0.03470 20.66760 3.3345e+12 3.7050e+12 3.0381e+12 2.7417e+12 1.1115e+12 19.23272 0.00 0.02602 0.70847 0.56675 18.59426 9.67788 -16.19016 0.4471 3.648e-01 -1.322e+01 -9.347 -1
299104 -1 8.521e+12 316.08 311.03 422.564 81.513 178 0.10993 7.67722 28.28136 -91.08 -224.34 -370.63 8.695e+13 -1.539e+13 -7.018e+13 0.06875 77.43826 8.5215e+12 1.0078e+13 6.5949e+12 3.9273e+12 1.8525e+12 14.02968 5.69 0.07504 0.80208 0.65285 -33.08661 31.29720 -24.60287 0.7944 4.843e-01 2.515e+01 -11.295 -1
423951 -1 1.186e+12 168.08 84.96 218.961 34.150 41 1.00216 11.32769 6.16902 6.57 -151.70 -404.55 2.072e+12 3.807e+12 1.057e+12 0.08597 34.15002 1.1856e+12 1.4820e+12 1.0374e+12 4.4460e+11 0.0000e+00 21.45998 8.87 0.07946 0.23015 0.00000 53.85815 8.97491 -41.66665 0.5984 2.589e-01 4.313e+01 8.018 -1
383668 -1 6.669e+11 128.45 43.57 180.748 51.003 37 2.79712 1.05700 7.47124 -292.09 -318.51 -248.40 1.505e+11 8.887e+11 -8.827e+11 0.05198 51.00346 6.6690e+11 1.2597e+12 0.0000e+00 0.0000e+00 0.0000e+00 24.04828 0.00 0.05862 0.17295 0.00551 55.85067 81.69389 4.73917 0.0000 0.000e+00 0.000e+00 0.000 -1
326657 -1 8.670e+12 313.52 286.92 425.000 84.663 164 15.56421 15.34347 17.99018 191.62 -253.62 -490.31 -5.265e+13 -1.458e+12 2.298e+13 0.03542 85.81007 8.6697e+12 1.0374e+13 6.1503e+12 4.0755e+12 1.3338e+12 19.88309 4.39 0.03715 0.75725 0.56345 33.24067 5.66179 15.77990 0.7516 3.960e-01 1.503e+01 16.290 -1
272071 -1 2.668e+12 203.93 159.88 286.920 80.840 70 8.39746 19.59027 5.04773 133.40 -405.14 -363.79 9.384e+12 5.607e+12 1.481e+13 0.08149 80.83956 2.6676e+12 3.3345e+12 1.8525e+12 1.0374e+12 0.0000e+00 11.71904 17.42 0.08488 0.62464 0.32060 27.90208 54.78389 -1.62384 0.2552 1.400e-01 1.860e+01 44.664 -1
272070 -1 5.780e+12 290.29 253.44 371.272 52.211 121 8.48617 19.78533 4.32562 64.49 -327.45 -229.70 9.944e+12 -1.251e+12 1.783e+13 0.02505 52.21128 5.7798e+12 7.2618e+12 4.3719e+12 2.5935e+12 1.5561e+12 23.01922 0.00 0.02599 0.74384 0.52320 20.51422 42.47705 -31.90059 0.5781 4.545e-01 -1.831e+01 -23.913 -1
272069 -1 8.151e+12 324.74 315.46 416.349 404.764 274 8.15732 19.68812 4.00744 395.05 -424.99 -293.63 -4.175e+13 -1.838e+14 7.471e+13 0.11637 59.34025 8.1510e+12 1.5561e+13 4.8165e+12 2.6676e+12 1.9266e+12 63.58939 27.13 0.14525 0.82689 0.63072 -14.42763 28.26591 -10.99572 0.8754 5.457e-01 -8.650e+00 18.342 -1
258102 -1 6.528e+13 613.72 626.24 833.014 169.773 1130 13.76248 20.65461 5.65450 -183.41 -320.57 -155.30 8.146e+13 4.251e+14 2.234e+14 0.01010 169.77310 6.5282e+13 7.5212e+13 4.9054e+13 3.2530e+13 1.3931e+13 53.78969 43.52 0.01089 0.81069 0.50901 59.23506 43.16318 -10.77877 0.7489 5.166e-01 4.136e+01 30.231 -1
260451 -1 5.765e+13 562.69 596.96 799.196 266.492 718 15.67712 7.43955 28.03324 -22.16 -24.33 -271.91 8.529e+14 1.094e+15 2.338e+15 0.06511 255.14450 5.7650e+13 6.7061e+13 4.0533e+13 2.3712e+13 9.7071e+12 47.49434 218.90 0.07474 0.52985 0.46689 -2.70626 -38.94675 48.82889 0.4564 3.777e-01 6.004e+00 -26.951 -1
380931 -1 4.298e+12 288.89 205.54 336.359 30.216 80 11.87250 7.08534 16.74059 -74.31 197.33 -347.35 -4.994e+11 9.077e+12 -1.236e+13 0.04038 30.21639 4.2978e+12 4.6683e+12 3.5568e+12 3.2604e+12 1.4079e+12 29.36526 0.00 0.03195 0.74383 0.55851 16.49521 6.64058 25.84948 0.6116 3.877e-01 1.161e+01 8.653 -1
328842 -1 4.150e+12 284.85 212.05 332.447 30.171 116 7.34574 8.47498 27.66680 128.72 -165.86 -290.23 1.964e+12 -1.497e+13 1.436e+13 0.05227 30.17123 4.1496e+12 4.8165e+12 3.4827e+12 2.6676e+12 1.2597e+12 20.27645 0.00 0.04600 0.82883 0.70520 48.85565 -10.32110 -10.63072 0.6546 4.689e-01 4.505e+01 -4.311 -1
328841 -1 1.630e+12 176.71 142.93 243.482 55.889 64 8.23843 8.05121 27.74292 -23.80 -192.40 -372.80 -2.579e+12 5.658e+12 1.040e+12 0.04352 55.88903 1.6302e+12 2.8158e+12 7.4100e+10 0.0000e+00 0.0000e+00 54.37038 0.00 0.06605 0.57801 0.19264 -57.35608 -59.34355 71.52697 0.0000 0.000e+00 0.000e+00 0.000 -1
